model,preprocessing,n_subjects,n,accuracy,precision,f1,sensitivity,specificity,balanced_accuracy,mcc,auc
CNN,128Hz,121,121,0.5454545454545454,0.5681818181818182,0.47619047619047616,0.4098360655737705,0.6833333333333333,0.5465846994535519,0.09683718036162722,0.5573770491803278
CNN,128to512_interp,121,121,0.5867768595041323,0.5733333333333334,0.6323529411764706,0.7049180327868853,0.4666666666666667,0.585792349726776,0.1767297053980904,0.6306010928961748
EEGNet,128Hz,121,121,0.7933884297520661,0.7571428571428571,0.8091603053435115,0.8688524590163934,0.7166666666666667,0.79275956284153,0.592853680404711,0.9019125683060109
EEGNet,128to512_interp,121,121,0.7355371900826446,0.6933333333333334,0.7647058823529411,0.8524590163934426,0.6166666666666667,0.7345628415300547,0.48319252256133954,0.8461748633879782
